成员,总选前直播日期,总时间（分）,总选后直播日期,总时间（分）,前后时间比例
张怀瑾,7-8 7-9 7-10 7-11 7-12 7-15 7-21 7-22 7-25 7-27,652±170,7-29 8-1 8-7,121±40,≈5.39
陈珂,7-9 7-11 7-16 7-18 7-19 7-21 7-25 7-26,229±90,7-29 8-2 8-3 8-4 8-7,118±50,≈1.94
马玉灵,7-10 7-25,131±40,7-30 8-1 8-2,61±30,≈2.15
唐莉佳,7-9 7-11 7-14 7-15 7-17 7-19 7-23 7-25 7-26 7-27,655±210,7-30 7-31 8-3,148±40,≈4.43
陈倩楠,7-9 7-17 7-26 7-27,201±80,7-28,17±20,≈11.82
黄恩茹,7-22 7-25,76±20,8-3,66±20,≈1.15
胡晓慧,7-8 7-10 7-11 7-13 7-14 7-19 7-20 7-23 7-24 7-25 7-27,626±160,7-30 8-1 8-3 8-4 8-5 8-7,104±60,≈6.02
李宇琪,,0±0,7-28 8-2,109±20,≈0.00
李钊,7-9 7-14 7-19 7-22 7-25,365±60,8-1,165±10,≈2.21
左婧媛,7-9 7-11 7-12 7-13 7-14 7-15 7-17 7-18 7-19 7-20 7-23 7-25 7-26 7-27,829±240,7-30 7-31 8-8,199±30,≈4.17
陈美君,7-10 7-13 7-14 7-15 7-18 7-25 7-26,378±70,8-1,23±10,≈16.43
洪珮雲,7-13 7-22 7-23 7-27,170±40,8-2 8-3 8-5,87±30,≈1.95
徐诗琪,7-13 7-15 7-16 7-18 7-20 7-25,340±70,,0±0,总选后不直播
赵佳蕊,7-8 7-9 7-10 7-11 7-13 7-15 7-18 7-19 7-20 7-21 7-23 7-25 7-26 7-27,772±220,7-28 7-29 7-30 8-1 8-5 8-8,226±100,≈3.42
青钰雯,7-10 7-13 7-14 7-15 7-17 7-20 7-26 7-27,439±90,7-30 8-1 8-4,161±50,≈2.73
王诗蒙,7-8 7-9 7-11 7-14 7-15 7-16 7-17 7-20 7-21 7-22 7-23 7-25 7-26 7-27,2257±290,7-28 7-29 8-1 8-5 8-6,299±60,≈7.55
