成员,总选前直播日期,总时间（分）,总选后直播日期,总时间（分）,前后时间比例
沈梦瑶,7-11 7-14 7-15 7-17 7-19 7-20 7-22 7-24 7-25 7-27,484±100,7-28 7-30 7-31 8-3 8-6,148±70,≈3.27
肖文铃,7-12 7-15 7-16 7-17 7-18 7-19 7-25 7-26 7-27,281±110,7-29 7-30 7-31 8-1 8-3 8-4 8-5 8-6 8-7 8-8,405±180,≈0.69
卢静,7-8 7-14 7-18 7-19 7-21 7-25 7-27,289±90,7-28 7-29 7-31 8-1 8-3 8-4 8-5 8-7,484±100,≈0.60
许杨玉琢,7-8 7-9 7-10 7-12 7-13 7-14 7-15 7-18 7-21 7-22 7-23 7-25 7-26 7-27,469±160,7-29 7-30 8-1 8-2 8-4 8-6,133±60,≈3.53
王雨煊,7-26,97±50,8-2 8-3,254±20,≈0.38
谢妮,7-11 7-27,88±20,8-4 8-5,89±30,≈0.99
刘倩倩,7-8 7-13 7-14 7-15 7-18 7-19 7-25 7-27,696±160,7-31 8-1 8-5 8-7,442±80,≈1.57
孙珍妮,7-11 7-14 7-15 7-17 7-22,179±50,7-29 8-8,78±20,≈2.29
李梓,7-10 7-16 7-20,104±30,7-28,26±10,≈4.00
高源婧,7-10 7-13 7-17 7-18 7-25,270±60,8-1 8-6 8-7,165±30,≈1.64
刘姝贤,7-16 7-19 7-22 7-27,207±70,7-29 7-30 7-31 8-1 8-4 8-5 8-7,487±100,≈0.43
葛司琪,7-14 7-17 7-19 7-22 7-24 7-25,362±70,7-28 7-30 7-31 8-1 8-3 8-4 8-5 8-7,620±90,≈0.58
张琼予,7-8 7-9 7-10 7-11 7-12 7-15 7-16 7-17 7-20 7-25 7-26 7-27,1063±230,7-31 8-1,102±50,≈10.42
蒋芸,7-10 7-12 7-14 7-19 7-21 7-22 7-27,478±80,,0±0,总选后不直播
袁雨桢,7-12 7-19 7-21 7-27,305±40,8-1,114±10,≈2.68
祁静,7-19 7-25,167±20,8-2,45±10,≈3.71
闫明筠,7-8 7-13 7-15 7-17 7-20 7-25 7-27,322±110,7-31 8-2 8-5,133±30,≈2.42
胡丽芝,7-8 7-9 7-10 7-11 7-13 7-14 7-17 7-19 7-20 7-22 7-23 7-25 7-26 7-27,483±180,7-30 7-31 8-2 8-5 8-6 8-7,173±60,≈2.79
